indicator, scenario, year, change, ensemble, dataset, tiff, url
annual_tasmin, rcp45, 2040, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2040, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp45_ens_2025-2055_nexgddp.tif
annual_tasmin, rcp45, 2050, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2050, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp45_ens_2035-2065_nexgddp.tif
annual_tasmin, rcp45, 2060, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2060, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp45_ens_2045-2075_nexgddp.tif
annual_tasmin, rcp45, 2070, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2070, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp45_ens_2055-2085_nexgddp.tif
annual_tasmin, rcp45, 2080, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp45, 2080, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp45_ens_2065-2095_nexgddp.tif
annual_tasmin, rcp85, 2000, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2000, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp85_ens_1985-2015_nexgddp.tif
annual_tasmin, rcp85, 2010, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2010, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp85_ens_1995-2025_nexgddp.tif
annual_tasmin, rcp85, 2020, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, diff, q75, nexgddp, q75-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2020, diff, iqr, nexgddp, iqr-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-diff-annual_tasmin_rcp85_ens_2005-2035_nexgddp.tif
annual_tasmin, rcp85, 2030, abs, q50, nexgddp, q50-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif
annual_tasmin, rcp85, 2030, abs, q25, nexgddp, q25-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif
annual_tasmin, rcp85, 2030, abs, q75, nexgddp, q75-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q75-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif
annual_tasmin, rcp85, 2030, abs, iqr, nexgddp, iqr-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/iqr-abs-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif
annual_tasmin, rcp85, 2030, diff, q50, nexgddp, q50-diff-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q50-diff-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif
annual_tasmin, rcp85, 2030, diff, q25, nexgddp, q25-diff-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif, https://s3.amazonaws.com/md.cc/tmp/nex-gddp/q25-diff-annual_tasmin_rcp85_ens_2015-2045_nexgddp.tif
